,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
128,71,1545.855676,3.89e-32,1.595e-11.0354.0380,793.20870.720.000000,X,1,X,0,Q,23P,23,q50262049,112,9,4,0.0,45.0,47.0
129,71,1546.110081,3.99e-30,2.720e-09.0352.0370,931.33720.720.000000,X,1,X,0,Q,25Q,26,q50262049,112,9,4,0.0,53.0,53.0
130,71,1546.110081,6.41e-30,4.369e-09.0352.0370,931.33720.720.000000,X,1,X,0,Q,25Q,26,d50262049,112,9,4,0.0,53.0,53.0
131,71,1546.111802,5.98e-30,4.417e-09.0352.0370,931.74310.720.000000,X,1,X,0,Q,25Q,24,d50262049,112,9,4,0.0,49.0,49.0
132,71,1546.111802,3.68e-30,2.718e-09.0352.0370,931.74310.720.000000,X,1,X,0,Q,25Q,24,q50262049,112,9,4,0.0,49.0,49.0
133,71,1546.115864,1.47e-34,1.052e-13.0352.0370,933.53090.720.000000,X,1,X,0,Q,25Q,25,d50262049,112,9,4,0.0,51.0,51.0
134,71,1546.115864,3.78e-30,2.706e-09.0352.0370,933.53090.720.000000,X,1,X,0,Q,25Q,25,q50262049,112,9,4,0.0,51.0,51.0
135,71,1546.210042,6.2e-31,8.530e-10.0350.0360,1083.43320.720.000000,X,1,X,0,Q,27R,26,d50252049,112,9,4,0.0,55.0,53.0
136,71,1546.65152,6.04e-31,8.297e-10.0350.0360,1082.99170.720.000000,X,1,X,0,Q,27P,28,d50252049,112,9,4,0.0,55.0,57.0
137,71,1546.925092,3.5999999999999996e-30,7.898e-10.0356.0390,664.25950.720.000000,X,1,X,0,Q,21R,21,d50262049,112,9,4,0.0,45.0,43.0
138,71,1546.925092,7.49e-32,1.643e-11.0356.0390,664.25950.720.000000,X,1,X,0,Q,21R,21,q50262049,112,9,4,0.0,45.0,43.0
139,71,1547.260595,7.999999999999999e-32,1.927e-11.0356.0390,664.25950.720.000000,X,1,X,0,Q,21P,21,q50262049,112,9,4,0.0,41.0,43.0
140,71,1547.260595,3.73e-30,8.986e-10.0356.0390,664.25950.720.000000,X,1,X,0,Q,21P,21,d50262049,112,9,4,0.0,41.0,43.0
141,71,1547.6595630000002,1.17e-29,4.370e-09.0354.0380,791.03310.720.000000,X,1,X,0,Q,23Q,24,d50262049,112,9,4,0.0,49.0,49.0
142,71,1547.6595630000002,7.31e-30,2.730e-09.0354.0380,791.03310.720.000000,X,1,X,0,Q,23Q,24,q50262049,112,9,4,0.0,49.0,49.0
143,71,1547.661259,1.09e-29,4.441e-09.0354.0380,791.40310.720.000000,X,1,X,0,Q,23Q,22,d50262049,112,9,4,0.0,45.0,45.0
